,Unnamed: 0,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
75,7144,normal_normal_LU_C_64_76,361.4912109375,370.17286682128906,3362.146697998047,3366.6240234375,2019-06-07 09:55:02.798,2019-06-07 09:55:29.827,76,731.6640777587891,6728.770721435547,allmodes,27.029,240.31324005126956,normal,normal,LU,C,64,normal normal
76,7232,normal_normal_LU_C_64_77,348.3979949951172,357.74717712402344,3256.876495361328,3260.107788085937,2019-06-07 09:55:32.832,2019-06-07 09:55:58.861,77,706.1451721191406,6516.984283447266,allmodes,26.029,241.36978827582462,normal,normal,LU,C,64,normal normal
77,7320,normal_normal_LU_C_64_78,347.4515075683594,359.02213287353516,3256.083465576172,3259.118682861328,2019-06-07 09:56:02.867,2019-06-07 09:56:28.894,78,706.4736404418945,6515.2021484375,allmodes,26.026999999999997,241.30378327546296,normal,normal,LU,C,64,normal normal
78,7404,normal_normal_LU_C_64_79,357.45904541015625,371.9122619628906,3361.5390625,3367.33349609375,2019-06-07 09:56:31.901,2019-06-07 09:56:58.929,79,729.3713073730469,6728.87255859375,allmodes,27.028000000000002,240.3168770926339,normal,normal,LU,C,64,normal normal
79,7492,normal_normal_LU_C_64_80,355.88453674316406,370.6145935058594,3365.407989501953,3370.4324951171875,2019-06-07 09:57:01.934,2019-06-07 09:57:28.963,80,726.4991302490234,6735.840484619141,allmodes,27.029,240.56573159354076,normal,normal,LU,C,64,normal normal
80,7580,normal_normal_LU_C_64_81,361.4866180419922,370.2812347412109,3361.1259155273438,3367.5177612304688,2019-06-07 09:57:31.968,2019-06-07 09:57:58.996,81,731.7678527832031,6728.6436767578125,allmodes,27.028000000000002,240.3087027413505,normal,normal,LU,C,64,normal normal
81,7669,normal_normal_LU_C_64_82,359.95726013183594,372.751594543457,3366.749725341797,3374.028167724609,2019-06-07 09:58:02.001,2019-06-07 09:58:29.029,82,732.708854675293,6740.777893066406,allmodes,27.028000000000002,240.74206760951446,normal,normal,LU,C,64,normal normal
82,7756,normal_normal_LU_C_64_83,348.4243469238281,357.2268829345703,3254.809112548828,3259.355743408203,2019-06-07 09:58:32.034,2019-06-07 09:58:58.065,83,705.6512298583984,6514.164855957031,allmodes,26.031,241.2653650354456,normal,normal,LU,C,64,normal normal
83,7843,normal_normal_LU_C_64_84,351.67774200439453,356.9481887817383,3256.08154296875,3260.327514648437,2019-06-07 09:59:02.070,2019-06-07 09:59:28.100,84,708.6259307861328,6516.4090576171875,allmodes,26.03,241.34848361545139,normal,normal,LU,C,64,normal normal
84,7930,normal_normal_LU_C_64_85,349.8759231567383,356.59507751464844,3256.3357543945312,3259.59716796875,2019-06-07 09:59:32.106,2019-06-07 09:59:58.137,85,706.4710006713867,6515.932922363281,allmodes,26.031,241.33084897641785,normal,normal,LU,C,64,normal normal
85,8015,normal_normal_LU_C_64_86,354.9218215942383,370.7055206298828,3359.141265869141,3365.141326904297,2019-06-07 10:00:01.143,2019-06-07 10:00:28.172,86,725.6273422241211,6724.2825927734375,allmodes,27.029,240.1529497419085,normal,normal,LU,C,64,normal normal
86,8106,normal_normal_LU_C_64_87,346.5419387817383,359.70562744140625,3256.4405212402344,3260.0504760742188,2019-06-07 10:00:32.177,2019-06-07 10:00:58.205,87,706.2475662231445,6516.490997314453,allmodes,26.028000000000002,241.35151841905383,normal,normal,LU,C,64,normal normal
